id,name,taxid,gender,dateofbirth,status,externalcode,isenriched,enrichedat,enrichedbt,createdat,createdby,updatedat,updatedby
2b46d0cf-c18a-43f3-98e5-db9fa61b5303,Fernanda,,,,1,,,,,2025-08-22 13:01:14.299+00,Support,2025-08-22 13:01:14.3+00,Support
92f6dfd4-06f2-4b82-b281-508f17de200d,Diogo,00000000000,O,,1,74ec1a5f-7546-4d38-92bc-9d2d39b962c0,,,,2025-07-03 22:19:02.029+00,Admin,2025-08-08 16:51:03.225+00,HorusBI App
97685b51-39fd-48c2-9f2e-79a3ee6f931c,Karina,00000000100,,,1,6b509f6c-8f2e-42ab-a8b0-f1f1f28ab460,,,,2025-07-24 19:02:05.38+00,System,2025-08-08 16:52:09.694+00,HorusBI App
48c3a60c-b6ba-4fb5-94d4-0eb512bb30bc,Margaret,00000000200,O,,1,3d2cd5af-e179-44d2-85f9-2697514660b0,,,,2025-07-03 22:19:01.238+00,Admin,2025-08-08 16:51:01.568+00,HorusBI App
7b204554-2fb6-4878-a4f5-7b30f265b91e,Iasmin,,N,,1,,,,,2025-08-15 15:42:04.972+00,Admin,2025-08-15 15:42:04.972+00,Admin
c96aa569-56a8-4e5b-a2f2-6eb813833cd6,Carolina,00000000300,O,,1,56ead7e0-1f09-4e87-8da5-3bb1bde70d60,,,,2025-07-03 22:19:01.588+00,Admin,2025-08-08 16:51:02.41+00,HorusBI App
0f2057f8-8cb6-4b90-add8-8f671f9e88db,Matheus,00000000400,O,10/1/2000,1,9d6c68bf-afe3-4d16-88ca-e498e61ecba0,,,,2025-07-03 22:18:59.191+00,Admin,2025-08-08 16:51:40.531+00,HorusBI App
f31b38a7-a62d-445a-9b60-3bd7201134e1,Thiago,00000000500,O,,1,24d3b4ee-922f-4a6e-a65c-63226b38a570,,,,2025-07-03 22:18:57.379+00,Admin,2025-08-08 16:51:36.664+00,HorusBI App
b20f3879-c008-48ef-8652-37735503b7cc,Cristiane,00000000600,O,5/8/1974,1,563ea03e-fc55-4335-8b14-1a7a7c03c5a0,,,,2025-07-04 22:31:19.701+00,Admin,2025-08-08 16:51:38.339+00,HorusBI App
deabfad6-a3c0-47ef-a10a-15653f1d3457,Helena,00000000700,O,,1,69e75f6b-e31a-4ce5-9821-865908274d40,,,,2025-07-03 22:18:58.274+00,Admin,2025-08-08 16:51:38.822+00,HorusBI App
