id,name,taxid,gender,dateofbirth,status,externalcode,isenriched,enrichedat,enrichedbt,createdat,createdby,updatedat,updatedby,ID_Pedido,Data_Pedido,Nome_do_Item,Quantidade,Categoria_Comida
2200,Pedro Mendonça,179.342.512-08,Female,2005-08-27,active,0KZY0SUFMW,False,,,2025-10-27T00:00:00,ops_team,2025-11-09T15:04:12,system,1001,27/10/2025,Mousse de Chocolate,1,Sobremesa
2201,Carlos Costa,130.664.878-42,Female,1994-12-07,inactive,53SMHHQO5H,False,,,2025-10-10T00:00:00,joao,2025-10-18T20:55:24,system,1002,10/10/2025,Pizza Grande Calabresa,2,Pizza
2202,Lucas Araujo,303.349.853-52,Male,2005-10-14,active,HQ1FE10WAN,False,,,2025-10-15T00:00:00,joao,2025-11-02T19:10:41,joao,1003,15/10/2025,Nhoque ao Sugo,1,Massas
2203,Camila Rocha,761.791.912-79,Female,1969-03-09,pending,9AFA7RKYHG,False,,,2025-10-22T00:00:00,data_engineer,2025-11-09T15:19:16,maria,1004,22/10/2025,Nhoque ao Sugo,3,Massas
2204,Mariana Santos,513.327.159-67,Female,1979-06-06,pending,QULJ1HX9V9,False,,,2025-10-17T00:00:00,maria,2025-10-19T18:44:27,data_engineer,1005,17/10/2025,Sorvete Artesanal,3,Sobremesa
2205,Fernanda Mendonça,900.768.398-94,Male,1975-02-06,active,313EHC2REQ,True,2025-09-04T10:50:46,maria,2025-10-16T00:00:00,import_script,2025-10-19T14:25:27,ops_team,1006,16/10/2025,Ravioli de Queijo,2,Massas
2206,Bruno Araujo,376.667.143-92,Male,1964-12-05,inactive,YAFPFDRRKL,False,,,2025-10-25T00:00:00,maria,2025-11-09T15:03:33,ops_team,1007,25/10/2025,Mousse de Chocolate,1,Sobremesa
2207,Luís Dias,213.636.823-97,Male,1982-04-01,inactive,UGK5XVIRQU,False,,,2025-10-13T00:00:00,maria,2025-10-18T00:44:18,ops_team,1008,13/10/2025,Pizza Grande Calabresa,1,Pizza
2208,Maria Dias,089.032.878-75,Male,1971-08-01,pending,3PTQ8BUMRY,False,,,2025-10-15T00:00:00,import_script,2025-10-17T08:37:44,joao,1009,15/10/2025,Pizza Grande Margherita,2,Pizza
2209,Patrícia Pereira,115.738.499-14,Non-binary,1956-08-14,inactive,WP8BOOXK5B,False,,,2025-10-30T00:00:00,import_script,2025-11-04T23:01:37,maria,1010,30/10/2025,Pizza Grande Portuguesa,3,Pizza
2210,Bruno Teixeira,010.240.211-51,Female,1997-11-22,active,DS6V13XTHP,True,2025-09-17T17:23:02,system,2025-10-13T00:00:00,joao,2025-10-14T18:12:15,maria,1011,13/10/2025,Pizza Grande Portuguesa,3,Pizza
2211,Lucas Silva,505.348.185-29,Female,2005-08-27,inactive,T7GWENHXO9,True,2025-10-15T08:07:02,ops_team,2025-10-23T00:00:00,data_engineer,2025-11-09T15:24:24,joao,1012,23/10/2025,Espaguete ao Alho e oleo,2,Massas
2212,Ana Rocha,411.539.042-58,Male,1974-09-15,active,B668X1YDB1,False,,,2025-10-09T00:00:00,maria,2025-10-14T01:35:36,joao,1013,09/10/2025,Espaguete ao Alho e oleo,1,Massas
